Letter_n,n,max_n,Letter_n+1,Freq
कू,1,4,ड़ा,5
ड़ा,2,4,घ,2
घ,3,4,रों,4
ड़ा,2,4,घा,1
ड़ा,2,4,दा,3
कू,1,2,ड़े,1
कू,1,4,ड़े,2
ड़े,2,4,दा,3
कू,1,2,ड़ों,1
ड़ों,2,2,-,19
-,0,2,कृ,5
कृ,1,2,त,1
-,0,4,कृ,10
कृ,1,4,त,1
त,2,4,ज्,1
ज्,3,4,ञ,1
ञ,4,4,-,1
-,0,5,कृ,10
कृ,1,5,त,1
त,2,5,ज्,1
ज्,3,5,ञ,1
ञ,4,5,ता,1
-,0,6,कृ,5
कृ,1,6,त,1
त,2,6,सं,1
सं,3,6,क,2
क,4,6,ल्,2
ल्,5,6,प,3
-,0,7,कृ,1
कृ,1,7,त,1
त,2,7,सं,1
सं,3,7,क,1
ल्,5,7,पि,2
पि,6,7,त,6
कृ,1,4,ता,1
ता,2,4,र्,2
कृ,1,2,ति,1
कृ,1,4,ति,2
ति,2,4,त्,1
-,0,3,कृ,9
कृ,1,3,त्,2
त्,2,3,य,7
त्,2,3,यों,3
कृ,1,4,त्,1
त्,2,4,रि,17
कृ,1,3,प,1
प,2,3,या,3
कृ,1,2,पा,1
कृ,1,3,पा,3
पा,2,3,ण,1
कृ,1,4,पा,3
पा,2,4,नं,1
पा,2,4,ना,1
कृ,1,6,पा,1
पा,2,6,ना,1
ना,3,6,रा,5
कृ,1,5,पा,1
पा,2,5,पा,1
पा,3,5,त्,8
पा,2,3,ली,4
पा,2,4,सिं,1
सिं,3,4,धु,1
धु,4,4,-,4
कृ,1,3,ष,2
ष,2,3,क,3
ष,2,3,कों,2
कृ,1,2,षि,1
कृ,1,5,षि,2
षि,2,5,क,1
षि,2,5,मं,1
कृ,1,4,ष्,2
ष्,2,4,ण,2
कृ,1,6,ष्,3
ष्,2,6,ण,2
ण,3,6,नं,1
ण,3,6,प,1
प,4,6,क्,5
कृ,1,5,ष्,5
ष्,2,5,ण,3
ण,3,5,प,2
प,4,5,द,6
ण,3,5,म,1
ष्,2,5,णां,1
णां,3,5,ज,1
ष्,2,5,णा,1
णा,3,5,नं,3
ष्,2,6,णा,1
णा,3,6,ष्,1
ट,5,6,मी,5
ष्,2,4,णें,1
णें,3,4,दु,1
-,0,3,कॅा,1
कॅा,1,3,ले,1
ले,2,3,ज,1
-,0,3,कें,6
कें,1,3,द्,3
-,0,5,कें,1
कें,1,5,द्,1
-,0,7,कें,4
कें,1,7,द्,4
द्,2,7,रा,4
रा,3,7,ध्,5
क्,6,7,षों,4
षों,7,7,-,4
-,0,4,कें,3
कें,1,4,द्,2
द्,2,4,री,1
री,3,4,य,7
-,0,6,कें,2
कें,1,6,द्,2
द्,2,6,री,1
री,3,6,य,1
य,4,6,कृ,2
द्,2,3,रो,1
द्,2,3,रों,1
कें,1,4,न्,1
न्,2,4,द्,6
-,0,6,के,2
के,1,6,ए,1
ए,2,6,म,1
म,3,6,पी,1
-,0,3,के,17
के,1,3,क,1
क,2,3,ई,2
के,1,3,चु,1
चु,2,3,ए,2
-,0,2,के,7
के,1,2,ज,1
के,1,3,त,1
त,2,3,ली,6
के,1,2,तु,1
तु,2,2,-,7
-,0,5,के,7
के,1,5,दा,1
दा,2,5,र,2
र,3,5,घा,2
के,1,3,द्,1
-,0,4,के,7
के,1,4,न्,3
के,1,6,न्,1
-,0,8,के,3
के,1,8,न्,3
न्,2,8,द्,5
द्,3,8,रा,3
रा,4,8,धी,2
धी,5,8,क्,3
ष,7,8,क,3
रा,4,8,ध्,3
के,1,5,न्,2
द्,3,5,री,1
-,0,7,के,1
के,1,7,न्,1
द्,3,7,री,2
री,4,7,य,4
य,5,7,कृ,2
कृ,6,7,त,2
द्,3,4,रों,1
के,1,3,ब,2
ब,2,3,लें,1
के,1,3,बा,1
के,1,5,बि,1
बि,2,5,न,1
न,3,5,मै,4
मै,4,5,न,8
के,1,3,बी,1
बी,2,3,च,1
के,1,4,मि,1
मि,2,4,क,2
के,1,4,रो,1
रो,2,4,सि,2
सि,3,4,न,3
के,1,2,ला,1
के,1,3,लि,1
लि,2,3,ए,7
के,1,2,ले,1
के,1,2,लों,1
के,1,3,व,4
व,2,3,ट,1
व,2,3,टी,1
व,2,3,ल,3
व,2,3,ड़ा,2
के,1,2,श,1
के,1,4,श,2
श,2,4,रा,3
श,2,4,रि,1
के,1,3,श,1
श,2,3,व,2
के,1,5,श,1
श,2,5,व,2
व,3,5,ना,6
के,1,2,शों,1
के,1,3,स,2
के,1,5,स,1
स,2,5,री,1
री,3,5,ना,1
-,0,3,कैं,5
कैं,1,3,चि,2
चि,2,3,यां,2
चि,2,3,यों,4
-,0,2,कैं,5
कैं,1,2,ची,1
कैं,1,2,थ,1
थ,2,2,-,8
कैं,1,2,था,1
कैं,1,3,प,1
प,2,3,सों,1
कैं,1,2,पों,1
पों,2,2,-,18
-,0,4,कैं,1
कैं,1,4,ब्,1
ब्,2,4,रि,1
रि,3,4,ज,1
कैं,1,3,स,1
कैं,1,3,सि,1
सि,2,3,ल,5
-,0,2,कै,12
कै,1,2,च,1
-,0,4,कै,14
कै,1,4,ट,1
ट,2,4,वॉ,1
वॉ,3,4,क,1
कै,1,4,थ,1
थ,2,4,लि,1
कै,1,2,था,1
-,0,5,कै,4
कै,1,5,थे,1
थे,2,5,ड्,1
ड्,3,5,र,1
र,4,5,ल,1
कै,1,2,द,1
-,0,3,कै,11
कै,1,3,दि,1
दि,2,3,यों,7
कै,1,2,दी,2
कै,1,4,प्,1
प्,2,4,सू,1
सू,3,4,ल,1
कै,1,4,फि,1
फि,2,4,य,1
कै,1,2,फे,1
फे,2,2,-,3
कै,1,3,बि,1
बि,2,3,न,2
कै,1,4,बि,1
बि,2,4,ने,1
ने,3,4,ट,1
कै,1,3,म,3
म,2,3,रा,2
कै,1,4,मि,2
मि,2,4,स्,1
स्,3,4,टों,1
कै,1,4,रि,1
कै,1,2,रो,1
कै,1,4,रो,1
कै,1,3,ला,2
ला,2,3,श,3
ला,2,3,शी,2
कै,1,5,ले,1
ले,2,5,ण्,2
कै,1,3,लो,1
लो,2,3,री,1
कै,1,5,ल्,1
ल्,2,5,शि,1
शि,3,5,य,6
कै,1,4,श,2
श,2,4,बु,1
बु,3,4,क,4
कै,1,4,शि,1
शि,2,4,य,2
कै,1,2,सा,2
कै,1,2,सी,1
कै,1,2,से,1
कै,1,3,से,2
से,2,3,ट,1
-,0,4,कॉ,6
कॉ,1,4,क,1
क,2,4,रो,1
रो,3,4,च,1
-,0,2,कॉ,4
कॉ,1,2,ज,1
कॉ,1,4,न्,1
कॉ,1,2,प,1
-,0,3,कॉ,5
कॉ,1,3,पि,3
पि,2,3,यां,3
पि,2,3,यों,4
कॉ,1,2,पी,1
कॉ,1,2,फी,1
कॉ,1,4,मि,1
मि,2,4,क्,1
क्,3,4,स,3
कॉ,1,3,मे,1
मे,2,3,डी,1
-,0,6,कॉ,5
कॉ,1,6,म्,2
म्,2,6,प,3
प,3,6,लै,1
लै,4,6,क्,1
क्,5,6,स,8
म्,2,6,प्,4
प्,3,6,ले,1
ले,4,6,क्,1
-,0,5,कॉ,5
कॉ,1,5,र,1
र,2,5,पो,1
पो,3,5,रे,1
रे,4,5,ट,4
कॉ,1,6,र,2
र,2,6,पो,2
पो,3,6,रे,3
रे,4,6,श,4
कॉ,1,5,ल,2
ल,2,5,ग,4
र्,4,5,ल,2
कॉ,1,3,ल,1
कॉ,1,4,लो,1
कॉ,1,5,लो,2
कॉ,1,6,स्,1
स्,2,6,मे,1
मे,3,6,टि,1
टि,4,6,क्,3
-,0,2,कों,1
कों,1,2,च,1
-,0,2,को,35
को,1,2,ई,1
-,0,6,को,4
को,1,6,ऑ,1
ऑ,2,6,प,1
प,3,6,रे,1
रे,4,6,टि,1
टि,5,6,व,2
-,0,7,को,2
को,1,7,ऑ,2
ऑ,2,7,र्,2
र्,3,7,डि,1
डि,4,7,ने,1
ने,5,7,ट,2
ट,6,7,र,5
को,1,2,क,1
-,0,3,को,29
को,1,3,कि,2
कि,2,3,ल,1
कि,2,3,ला,1
को,1,2,की,1
को,1,3,की,1
की,2,3,न,3
को,1,2,ख,1
को,1,2,चों,1
को,1,2,ट,1
-,0,4,को,14
को,1,4,ट,1
ट,2,4,शि,2
शि,3,4,ला,3
को,1,2,टि,1
को,1,2,टे,1
को,1,4,टे,3
टे,2,4,दा,3
टे,2,4,श,3
को,1,2,ठ,1
को,1,3,ठ,2
ठ,2,3,री,3
को,1,2,ठा,1
को,1,3,ठि,1
ठि,2,3,यों,2
को,1,2,ठी,1
को,1,2,ठे,1
को,1,2,ठों,1
को,1,2,ढ़,1
को,1,2,ण,1
ण,2,2,-,5
को,1,2,णों,1
को,1,4,त,2
को,1,2,ना,1
को,1,2,ने,1
को,1,2,प,1
को,1,2,पा,1
को,1,3,फ्,1
फ्,2,3,ता,3
को,1,3,म,1
को,1,4,म,1
म,2,4,ल,1
को,1,6,म,1
ल,3,6,प्,1
प्,4,6,री,5
री,5,6,त,5
को,1,2,मा,1
को,1,3,य,3
य,2,3,ला,1
-,0,5,को,3
को,1,5,य,1
य,2,5,लां,1
लां,3,5,च,1
को,1,6,य,1
य,2,6,ला,2
ला,3,6,स्,1
य,2,3,ले,1
को,1,3,र,1
र,2,3,मा,5
को,1,2,रा,1
को,1,4,रि,1
को,1,2,री,1
को,1,2,रे,1
को,1,3,र्,3
र्,2,3,रो,1
को,1,2,ला,1
को,1,4,ल्,1
ल्,2,4,हु,1
हु,3,4,ओं,1
को,1,3,विं,1
विं,2,3,द,1
को,1,2,श,1
को,1,2,शा,1
को,1,4,शि,2
शि,2,4,का,2
को,1,3,शि,3
शि,2,3,शें,1
शें,3,3,-,6
शि,2,3,शों,1
को,1,2,ष,1
ष,2,2,-,10
को,1,4,षा,2
षा,2,4,गा,2
को,1,5,षा,1
षा,2,5,धि,1
को,1,6,षा,1
षा,2,6,ध्,1
को,1,3,स,4
स,2,3,ती,7
स,2,3,ते,11
को,1,2,सों,1
सों,2,2,-,19
को,1,3,ह,3
ह,2,3,री,13
को,1,2,ड़ा,1
-,0,2,कौं,1
कौं,1,2,ध,1
-,0,2,कौ,11
कौ,1,2,आ,1
कौ,1,2,ए,1
कौ,1,2,ओं,1
-,0,4,कौ,6
कौ,1,4,टि,1
टि,2,4,ल्,1
कौ,1,4,तु,1
तु,2,4,ह,1
ह,3,4,ल,4
कौ,1,2,न,1
कौ,1,2,म,1
कौ,1,2,मी,1
कौ,1,2,मों,1
कौ,1,2,वे,1
वे,2,2,-,10
कौ,1,2,वों,1
वों,2,2,-,15
-,0,3,कौ,4
कौ,1,3,श,2
श,2,3,लों,1
कौ,1,4,स्,1
स्,2,4,तु,5
तु,3,4,भ,1
कौ,1,3,ड़ि,1
ड़ि,2,3,यों,16
कौ,1,2,ड़ी,1
कौ,1,4,ड़ी,2
ड़ी,2,4,हा,2
-,0,2,क्,4
क्,1,2,या,1
-,0,3,क्,29
क्,1,3,या,2
या,2,3,र,4
-,0,4,क्,43
क्,1,4,या,3
या,2,4,रि,7
या,2,3,री,4
क्,1,2,यूं,1
यूं,2,2,-,1
-,0,5,क्,27
क्,1,5,यू,1
यू,2,5,रे,1
क्,1,2,यो,1
क्,1,2,यों,1
यों,2,2,-,6
क्,1,3,यों,1
यों,2,3,कि,1
क्,1,4,रं,1
रं,2,4,द,1
क्,1,3,रंा,1
रंा,2,3,ति,1
क्,1,3,र,2
र,2,3,म,9
-,0,6,क्,33
क्,1,6,र,3
र,2,6,म,7
क्,1,4,र,2
र,2,4,मां,1
मां,3,4,क,1
र,2,6,मा,6
मा,3,6,नु,5
र,2,4,मि,5
र,2,3,य,1
र,2,6,य,1
य,3,6,कें,1
कें,4,6,द्,1
क्,1,3,रां,1
रां,2,3,ति,2
क्,1,6,रां,1
रां,2,6,ति,1
ति,3,6,का,2
क्,1,5,रां,4
रां,2,5,ति,4
ति,3,5,द,1
द,4,5,ल,6
ति,3,5,वी,2
क्,1,6,रा,2
रा,2,6,ति,1
क्,1,4,रि,3
रि,2,4,के,1
के,3,4,ट,2
-,0,8,क्,7
क्,1,8,रि,1
रि,2,8,के,1
के,3,8,ट,1
ट,4,8,प्,1
प्,5,8,रे,1
रे,6,8,मि,1
क्,1,5,रि,4
रि,2,5,के,1
के,3,5,ट,1
रि,2,5,क्,5
क्,3,5,रे,1
क्,1,3,रि,1
रि,2,3,या,7
क्,1,6,रि,8
रि,2,6,या,7
या,3,6,क,3
र्,5,6,म,5
-,0,7,क्,13
क्,1,7,रि,3
रि,2,7,या,3
या,3,7,नु,1
नु,4,7,ष्,1
ष्,5,7,ठा,1
ठा,6,7,न,1
न्,4,7,य,1
य,5,7,व,2
व,6,7,न,1
न्,4,6,व,1
रि,2,5,या,6
या,3,5,शी,1
या,3,6,शी,1
शी,4,6,ल,4
ल,5,6,ता,6
रि,2,5,स,3
स,3,5,म,5
म,4,5,स,1
क्,1,6,री,3
री,2,6,ड़ा,1
ड़ा,3,6,धि,1
क्,1,3,री,3
री,2,3,डा,1
री,2,3,ड़ा,1
क्,1,5,री,2
री,2,5,ड़ां,1
ड़ां,3,5,ग,1
ग,4,5,न,4
री,2,6,ड़ा,1
ड़ा,3,6,धि,1
क्,1,7,री,1
री,2,7,ड़ा,1
ड़ा,3,7,ध्,1
री,2,5,ड़ा,1
ड़ा,3,5,श्,1
री,2,6,ड़ो,1
ड़ो,3,6,त्,1
त्,4,6,स,15
स,5,6,व,15
क्,1,4,रु,2
रु,2,4,द्,6
रु,2,4,र,4
क्,1,3,रू,1
रू,2,3,र,4
क्,1,5,रू,1
रू,2,5,र,1
क्,1,4,रू,1
रू,2,4,र,5
क्,1,8,रू,1
रू,2,8,र,1
र,3,8,ता,3
क्,1,4,रे,2
रे,2,4,डि,1
डि,3,4,ट,1
क्,1,3,रे,2
रे,2,3,ता,2
रे,2,3,नों,2
क्,1,4,रै,1
रै,2,4,श,2
क्,1,3,रो,2
रो,2,3,ध,3
क्,1,4,रो,1
रो,2,4,धि,3
रो,2,3,धी,3
धी,3,3,-,10
क्,1,4,ल,2
र्,3,4,को,2
को,4,4,-,10
क्,1,6,ला,1
ला,2,6,इ,1
इ,3,6,मे,1
मे,4,6,क्,2
क्,1,5,ला,1
ला,2,5,स,3
स,3,5,रू,1
रू,4,5,म,1
क्,1,4,ला,2
ला,2,4,सि,3
सि,3,4,क,4
ला,2,4,से,1
से,3,4,ज,1
क्,1,3,लि,1
लि,2,3,न,5
क्,1,4,लि,1
लि,2,4,नि,1
नि,3,4,कों,3
क्,1,4,ली,2
ली,2,4,नि,2
क्,1,5,ले,1
ले,2,5,रि,1
रि,3,5,क,2
क,4,5,ल,4
क्,1,3,ले,1
क्,1,4,वा,2
वा,2,4,र्,6
र्,3,4,सी,1
क्,1,4,विं,1
विं,2,4,ट,1
क्,1,3,ष,6
ष,2,3,ण,7
क्,1,6,ष,6
ष,2,6,ण,1
ण,3,6,भं,1
भं,4,6,गु,1
गु,5,6,र,1
क्,1,4,ष,4
ष,2,4,णि,1
णि,3,4,क,2
ष,2,3,णों,2
ष,2,3,त,1
क्,1,7,ष,4
ष,2,7,त,1
त,3,7,वि,1
वि,4,7,क्,1
ष,6,7,त,1
ष,2,6,ति,3
ति,3,6,ग,1
ग,4,6,स्,1
ष,2,7,ति,1
ति,3,7,ग्,1
ति,3,6,पू,5
पू,4,6,र,1
क्,1,5,ष,9
ष,2,5,त्,4
र,4,5,प,1
रि,4,5,य,8
ष,2,4,म,3
म,3,4,ता,3
ष,2,5,म,4
ता,4,5,एं,11
ष,2,7,म,2
म,3,7,ता,2
ता,4,7,नु,2
नु,5,7,सा,6
सा,6,7,र,6
ष,2,6,म,1
म,3,6,ता,1
ता,4,6,वा,4
वा,5,6,न,2
ता,4,7,वृ,1
वृ,5,7,द्,1
द्,6,7,धि,1
धि,7,7,-,2
ष,2,5,मा,2
मा,3,5,दा,1
ष,2,6,मा,1
मा,3,6,या,1
या,4,6,च,1
मा,3,5,वा,1
ष,2,4,म्,1
म्,3,4,य,2
ष,2,3,य,2
ष,2,5,य,4
य,3,5,रो,3
रो,4,5,ग,5
ष,2,4,र,1
क्,1,3,षा,2
षा,2,3,र,3
क्,1,4,षा,1
षा,2,4,री,1
क्,1,4,षि,2
षि,2,4,ति,1
ति,3,4,ज,2
षि,2,4,प्,1
प्,3,4,रा,1
क्,1,3,षी,1
षी,2,3,ण,1
क्,1,6,षी,2
षी,2,6,र,2
सा,4,6,ग,4
ग,5,6,र,9
क्,1,4,षु,2
षु,2,4,द्,1
क्,1,4,षे,5
षे,2,4,त्,5
क्,1,8,षे,5
षे,2,8,त्,5
त्,3,8,र,3
र,4,8,पं,1
पं,5,8,चा,1
चा,6,8,य,1
य,7,8,त,1
क्,1,6,षे,7
षे,2,6,त्,7
त्,3,6,र,8
र,4,6,फ,1
फ,5,6,ल,2
र,4,8,र,2
र,5,8,क्,2
क्,1,7,षे,5
षे,2,7,त्,5
त्,3,7,र,7
त्,3,8,रां,1
रां,4,8,त,1
त,5,8,र्,2
र्,6,8,ग,2
ग,7,8,त,2
त्,3,7,रा,2
त्,3,8,रा,1
त्,3,6,रा,4
-,0,9,क्,1
क्,1,9,षे,1
षे,2,9,त्,1
त्,3,9,रा,1
रा,4,9,न्,1
न्,5,9,त,1
त,6,9,र्,1
र्,7,9,ग,1
ग,8,9,त,1
क्,1,5,षे,2
षे,2,5,त्,2
त्,3,4,री,5
त्,3,5,री,5
य,5,7,ज,2
त्,3,6,री,1
री,4,6,य,2
त्,3,4,रो,1
क्,1,4,षै,1
षै,2,4,ति,1
क्,1,3,षो,1
षो,2,3,भ,1
क,1,3,ड़,6
ड़,2,3,क,8
क,1,4,ड़,2
क,3,4,ती,17
ड़,2,3,की,7
क,1,5,ड़,2
ड़,2,5,क,3
क,3,5,ड़ा,1
ड़ा,4,5,ती,3
ड़,2,3,बी,1
ड़,2,5,वा,3
ड़,2,3,वी,1
ड़,2,3,वे,1
वे,3,3,-,17
क,1,2,ड़ा,1
क,1,3,ड़ा,3
ड़ा,2,3,ही,1
क,1,3,ड़ि,2
ड़ि,2,3,यां,16
क,1,2,ड़ी,1
क,1,2,ड़े,1
-,0,5,खं,4
खं,1,5,गा,1
गा,2,5,ल,1
-,0,4,खं,13
खं,1,4,गा,7
गा,2,4,ल,5
-,0,3,खं,9
खं,1,3,गा,3
गा,2,3,ला,2
गा,2,3,ले,1
गा,2,4,लें,1
लें,3,4,गे,7
गा,2,4,ले,1
खं,1,3,ज,1
-,0,2,खं,14
खं,1,2,ड,1
खं,1,3,ड,2
ड,2,3,न,2
ड,2,3,र,3
खं,1,4,ड,3
ड,2,4,वा,3
खं,1,5,ड,2
ड,2,5,वि,2
वि,3,5,का,9
का,4,5,स,7
-,0,6,खं,2
खं,1,6,ड,2
ड,2,6,स्,1
स्,3,6,त,7
त,4,6,री,5
ड,2,4,ह,2
ह,3,4,र,10
ड,2,6,ह,1
ह,3,6,र,1
र,4,6,नु,1
नु,5,6,मा,1
मा,6,6,-,6
ह,3,4,रों,2
खं,1,4,डा,2
डा,2,4,इ,1
इ,3,4,त,1
डा,2,4,धा,1
खं,1,2,डी,1
खं,1,2,डे,1
खं,1,5,डे,1
डे,2,5,ल,1
वा,4,5,ल,3
खं,1,2,डो,1
खं,1,2,डों,1
खं,1,2,ती,1
खं,1,4,दा,1
दा,2,4,व,3
खं,1,2,बा,1
बा,2,2,-,11
खं,1,2,बे,1
खं,1,2,बों,1
बों,2,2,-,7
खं,1,2,भा,1
खं,1,2,भे,1
भे,2,2,-,1
खं,1,2,भें,1
भें,2,2,-,1
खं,1,2,भो,1
भो,2,2,-,1
खं,1,2,भों,1
भों,2,2,-,3
-,0,3,ख,117
ख,1,3,गो,1
गो,2,3,ल,2
-,0,4,ख,65
ख,1,4,गो,1
गो,2,4,ली,1
ख,1,3,गौ,1
गौ,2,3,ल,1
ख,1,4,च्,2
च,3,4,रों,2
ख,1,4,जा,1
जा,2,4,न,2
न,3,4,ची,1
ख,1,3,जा,3
जा,2,3,नों,1
ख,1,3,जू,2
जू,2,3,र,4
जू,2,3,री,3
ख,1,3,ट,3
ट,2,3,क,13
ख,1,4,ट,9
का,3,4,ना,11
ट,2,4,ख,3
ख,3,4,टा,1
-,0,5,ख,25
ख,1,5,ट,5
ट,2,5,ख,5
ख,3,5,टा,5
टा,4,5,ए,1
-,0,6,ख,9
ख,1,6,ट,4
ट,2,6,ख,4
ख,3,6,टा,4
टा,4,6,ए,2
ए,5,6,गा,2
गा,6,6,-,2
टा,4,6,क,1
टा,4,5,ना,1
टा,4,5,या,1
ट,2,4,म,1
म,3,4,ल,5
ख,1,3,टा,5
टा,2,3,णा,1
णा,3,3,-,8
टा,2,3,रा,2
टा,2,3,ल,2
टा,2,3,स,1
ख,1,3,टि,2
ख,1,3,टी,1
टी,2,3,मा,1
ख,1,3,टो,3
टो,2,3,ला,2
टो,2,3,ली,3
टो,2,3,ले,1
ख,1,4,ट्,1
ख,1,3,ट्,2
ख,1,3,डं,1
डं,2,3,जे,1
ख,1,3,डं़,1
डं़,2,3,जे,1
ख,1,3,ड़ं,2
ड़ं,2,3,जा,1
ड़ं,2,3,जे,1
ख,1,3,ड़,1
ड़,2,3,क,4
-,0,2,ख,18
ख,1,2,ड़ी,1
ख,1,2,डा,1
ख,1,3,ड्,3
ड्,2,3,ग,1
ख,1,3,ण्,2
ण्,2,3,ड,7
ख,1,5,ण्,2
ण्,2,5,ड,7
ड,3,5,ह,1
ह,4,5,र,3
ख,1,5,त,1
ना,4,5,क,3
ख,1,3,त,3
ख,1,2,ता,1
ख,1,2,तों,1
तों,2,2,-,24
ख,1,3,त्,5
त्,2,3,री,13
ख,1,3,दा,3
दा,2,3,नें,1
दा,2,3,नों,2
ख,1,4,दे,5
दे,2,4,ड़,1
ख,1,3,दे,5
दे,2,3,ड़,1
ख,1,5,दे,2
दे,2,5,ड़,1
दे,2,4,ड़,4
दे,2,3,ड़ा,1
ख,1,4,द्,1
द्,2,4,द,3
ख,1,5,द्,1
या,3,5,न्,4
ख,1,3,न,2
-,0,7,ख,1
ख,1,7,न,1
न,2,7,न,1
न,3,7,क,2
ख,1,6,न,1
न,3,6,का,4
ख,1,5,न,1
न,2,5,न,1
न,3,5,का,4
ख,1,3,नि,2
नि,2,3,जों,1
ख,1,5,प,1
प,2,5,त,1
ख,1,3,प,3
प,2,3,रा,2
ख,1,4,प,2
प,2,4,रै,2
रै,3,4,ल,2
ख,1,2,पा,1
ख,1,3,पा,4
पा,2,3,ते,3
पा,2,3,ने,5
पा,2,3,या,4
ख,1,4,प्,2
प्,2,4,प,14
ख,1,2,फा,1
फा,2,2,-,9
ख,1,3,ब,4
ब,2,3,र,6
ख,1,5,ब,1
ब,2,3,रें,1
ब,2,3,रों,2
ख,1,3,ब्,1
ब्,2,3,बू,1
बू,3,3,-,6
ख,1,2,भों,1
ख,1,4,मि,1
मि,2,4,या,5
या,3,4,जा,2
ख,1,3,म्,4
म्,2,3,बे,2
म्,2,3,भा,1
म्,2,3,भे,1
भे,3,3,-,2
म्,2,3,भों,1
भों,3,3,-,2
ख,1,4,या,1
या,2,4,न,2
न,3,4,त,7
ख,1,3,रं,1
रं,2,3,जे,1
ख,1,4,र,4
र,2,4,ख,7
ख,3,4,ड़ा,2
र,2,4,गो,1
गो,3,4,श,1
ख,1,5,र,1
र,2,5,दू,4
दू,3,5,ष,3
-,0,9,ख,1
ख,1,9,र,1
र,2,9,प,1
प,3,9,त,1
त,4,9,वा,1
वा,5,9,र,1
र,6,9,ना,1
ना,7,9,श,1
श,8,9,क,1
ख,1,6,र,2
र,2,6,प,4
प,3,6,त,2
र,2,4,बू,3
बू,3,4,जा,1
बू,3,4,जे,1
जे,4,4,-,4
ख,1,3,र,1
ख,1,2,रा,1
ख,1,3,रा,8
रा,2,3,ब,6
ख,1,4,रा,1
रा,2,4,बि,2
रा,2,3,बी,2
रा,2,3,श,3
रा,2,3,स,2
ख,1,2,री,1
ख,1,4,री,14
री,2,4,खो,1
खो,3,4,टी,1
ख,1,3,री,8
री,2,3,द,3
ख,1,5,री,5
री,2,5,द,5
री,2,4,द,7
द,3,4,गी,10
द,3,4,ता,1
द,3,4,ते,1
री,2,4,दा,3
दा,3,4,री,17
री,2,3,दी,1
री,2,3,दीं,1
दीं,3,3,-,1
री,2,3,दे,1
री,2,3,दें,1
दें,3,3,-,4
री,2,4,दें,2
दें,3,4,गी,1
री,2,4,दे,1
दे,3,4,गी,1
ख,1,2,रे,1
ख,1,3,रों,2
रों,2,3,च,1
रों,2,3,चे,1
ख,1,3,रो,2
रो,2,3,चें,1
चें,3,3,-,3
ख,1,3,र्,6
र्,2,3,च,3
ख,1,4,र्,6
र्,2,3,चा,5
चा,3,3,-,22
र्,2,3,ची,3
र्,2,4,ची,3
ची,3,4,ला,1
ची,3,4,ली,1
ची,3,4,ले,1
र्,2,3,चे,4
र्,2,3,चों,4
चों,3,3,-,12
र्,2,4,रा,8
रा,3,4,टे,2
ख,1,3,ल,4
ल,2,3,ता,26
ल,2,3,ती,22
ख,1,5,ल,1
ल,2,5,ना,1
ल,2,3,ने,37
ख,1,4,ल,2
ल,2,3,वा,6
ल,2,4,वा,72
वा,3,4,ड़ा,5
ख,1,4,ला,1
ख,1,4,लि,4
लि,2,4,या,6
लि,2,4,हा,5
हा,3,4,नों,1
ख,1,3,ली,2
ली,2,3,फा,1
फा,3,3,-,8
ली,2,3,ल,2
ख,1,3,ले,1
ले,2,3,गी,12
ख,1,3,स,1
स,2,3,रा,6
ख,1,3,स्,1
स्,2,3,ता,12
ख,1,5,स्,2
ता,3,5,हा,3
हा,4,5,ल,6
ख,1,6,स्,1
स्,2,6,ता,6
ता,3,6,हा,1
हा,4,6,ल,3
ल,5,6,त,3
हा,4,5,ली,1
-,0,2,ख़ु,1
ख़ु,1,2,शी,1
-,0,3,खां,3
खां,1,3,क,1
क,2,3,रा,4
-,0,4,खां,1
खां,1,4,ड,1
ड,2,4,सा,1
सा,3,4,री,2
खां,1,3,स,2
-,0,2,खां,1
खां,1,2,सी,1
-,0,3,खा,22
खा,1,3,इ,1
-,0,2,खा,42
खा,1,2,ई,1
खा,1,3,ऊं,1
खा,1,2,ए,1
खा,1,2,एं,1
खा,1,3,एं,1
खा,1,3,ए,1
खा,1,2,ओ,1
ओ,2,2,-,5
खा,1,2,क,1
खा,1,3,क,1
खा,1,2,की,1
खा,1,2,गा,1
खा,1,2,ड़ी,1
खा,1,2,त,1
खा,1,2,ता,1
-,0,5,खा,12
खा,1,5,ता,3
ता,2,5,धा,3
धा,3,5,रि,3
-,0,4,खा,16
खा,1,4,ता,1
ता,2,4,धा,1
धा,3,4,री,7
खा,1,3,ति,1
ति,2,3,र,2
खा,1,5,ति,1
ति,2,5,र,1
खा,1,2,ती,1
खा,1,3,तु,1
तु,2,3,न,2
खा,1,3,तू,1
तू,2,3,न,3
खा,1,2,तें,1
खा,1,3,त्,2
त्,2,3,मा,2
त्,2,3,मे,1
खा,1,2,द,1
खा,1,2,दी,1
खा,1,5,दी,1
दी,2,5,ग्,1
खा,1,2,दें,1
दें,2,2,-,6
खा,1,2,दों,1
दों,2,2,-,13
खा,1,3,द्,1
खा,1,4,द्,2
खा,1,5,द्,2
खा,1,4,न,4
दा,3,4,नी,6
न,2,4,पा,2
पा,3,4,न,5
खा,1,2,ना,1
खा,1,4,ना,1
ना,2,4,पू,1
पू,3,4,री,4
खा,1,5,ना,3
ना,2,5,पू,2
र्,4,5,ति,6
ना,2,5,ब,2
ब,3,5,दो,2
दो,4,5,श,1
दो,4,5,शों,1
खा,1,2,नी,1
खा,1,2,ने,1
खा,1,2,नों,1
