Letter_n,n,max_n,Letter_n+1,Freq
य,10,10,-,1
ल,9,10,यी,1
यी,10,10,-,1
र,3,7,रा,2
रा,4,7,ज्,3
ज्,5,7,जी,1
जी,6,7,य,1
ज्,5,7,यी,2
यी,6,7,य,4
र,3,8,रा,2
रा,4,8,ष्,6
ष्,5,8,ट्,6
ट्,6,8,री,6
री,7,8,य,10
-,0,9,अं,1
अं,1,9,त,1
त,2,9,र,1
र,3,9,र्,1
र्,4,9,रा,2
रा,5,9,ष्,3
ष्,6,9,ट्,3
ट्,7,9,री,3
री,8,9,य,5
य,9,9,-,10
र,3,8,वि,3
वि,4,8,द्,6
द्,5,8,या,6
या,6,8,ल,7
ल,7,8,य,6
ल,7,8,यी,1
यी,8,8,-,1
र,3,7,स,3
स,4,7,द,2
द,5,7,नी,2
नी,6,7,य,2
त,2,3,रा,8
त,2,6,रा,1
रा,3,6,ज्,1
ज्,4,6,यी,1
यी,5,6,य,1
त,2,5,रा,1
रा,3,5,त्,10
त्,4,5,मा,3
मा,5,5,-,22
त,2,5,रि,1
रि,3,5,क्,4
क्,4,5,ष,12
ष,5,5,-,27
त,2,4,रि,4
रि,3,4,म,4
म,4,4,-,149
त,2,5,र्,6
र्,3,5,ग,3
त,2,8,र्,2
र्,3,8,ज,1
त,2,6,र्,4
र्,3,6,दे,2
र्,3,6,नि,2
नि,4,6,हि,1
हि,5,6,त,10
त,6,6,-,197
र्,3,5,म,1
म,4,5,न,11
न,5,5,-,452
र्,3,5,मु,2
मु,4,5,खी,6
खी,5,5,-,7
र्,3,5,या,1
या,4,5,मी,2
मी,5,5,-,29
त,2,7,र्,1
र्,3,7,रा,1
र्,3,8,रा,1
र्,3,6,वि,4
वि,4,6,रो,1
रो,5,6,ध,1
ध,6,6,-,24
अं,1,5,ता,1
ता,2,5,क्,1
ष,4,5,री,1
री,5,5,-,165
अं,1,3,ति,2
ति,2,3,म,1
ति,2,3,मा,1
मा,3,3,-,40
अं,1,8,त्,1
त्,2,8,य,1
य,3,8,प,1
प,4,8,री,1
री,5,8,क्,3
क्,6,8,ष,9
ष,7,8,ण,5
